4	SADE	2026-03-31 12:20:11.95+00	2026-03-31 12:20:11.95+00
5	ERDEN	2026-04-08 07:12:33.113+00	2026-04-08 07:12:33.113+00
6	ERDEN WB	2026-04-08 07:12:46.04+00	2026-04-08 07:12:46.04+00
7	Polovinki Анна	2026-04-08 07:41:12.951+00	2026-04-08 07:41:12.951+00
8	Анна Москва	2026-04-08 08:22:57.348+00	2026-04-08 08:22:57.348+00
9	WB	2026-04-08 08:51:29.274+00	2026-04-08 08:51:29.274+00
10	HOT COLLECTION	2026-04-08 10:45:57.345+00	2026-04-08 10:45:57.345+00
11	SADEFLAIR	2026-04-17 05:56:09.311+00	2026-04-17 05:56:09.311+00
\.


